id_A,id_B,similarity_score,is_match
1507,1507,0.5138184021132801,0
1735,1735,0.5228721751158175,0
2208,2208,0.4915981982421921,0
510,510,0.4696275824618604,0
1460,1460,0.329885382849254,0
110,110,0.6338854308627038,0
1746,1746,0.3337881401015065,0
164,278,0.3614783706689362,0
1939,1939,0.3957958970480125,0
135,1565,0.4430054486426101,0
3,3,0.2089390080601095,0
105,105,0.2966627967550599,0
1863,1863,0.4063345170988258,0
842,842,0.1983395092603438,0
1096,2187,0.4677741989403805,0
755,755,0.3236370733436183,0
1295,1295,0.2746340271797499,0
1080,1080,0.5036890606096985,0
743,743,0.1435703401273283,0
1753,1753,0.4394996966962848,0
1417,1417,0.4512718931927727,0
1306,1306,0.0443470082420418,0
1372,1806,0.2517303086904907,0
1689,1689,0.5605021312127861,0
448,448,0.3373426061611481,0
2014,2014,0.4814772345864349,0
2210,1066,0.5542074767263145,0
1574,1574,0.2351909964264721,0
1622,1622,0.4353490205733729,0
1348,616,0.1352374576824255,0
966,966,0.2784873790390201,0
1982,1982,0.1775065640273362,0
2197,2197,0.4708184426831553,0
42,1277,0.1268502556962518,0
1925,1925,0.3790421949483357,0
1337,1337,0.2014538242570213,0
466,1674,0.5300480734707613,0
1316,1316,0.4687158408843455,0
1098,1098,0.3452094272461822,0
2248,2248,0.3524664230870332,0
253,253,0.3446518426679038,0
956,956,0.4564755507858195,0
1370,1370,0.2835965765597874,0
1685,1685,0.2180910471342221,0
1636,1636,0.174960771117475,0
1346,1227,0.2092516737415472,0
1383,1383,0.1032561532884056,0
1563,1563,0.2208542805837542,0
1435,1435,0.273686367289446,0
855,855,0.3545525129031343,0
1122,1122,0.3668301803831656,0
1399,1399,0.4128893728669687,0
2154,2154,0.3033012317077113,0
1745,1745,0.3688387505428086,0
1490,1490,0.2400571371967871,0
420,420,0.4440706040099292,0
261,261,0.21942885781895,0
1665,1665,0.2728615385606923,0
1244,1244,0.2576717801012705,0
489,489,0.2140961071326255,0
1806,1806,0.1781088968809323,0
279,279,0.3155119789674284,0
1759,8,0.1122899971577268,0
1590,1590,0.3989736019438867,0
1087,1087,0.2120181056028175,0
73,73,0.4656806738342967,0
755,797,0.3602346934170501,0
1702,1702,0.2252958837000331,0
1043,641,0.1957754206020472,0
421,421,0.2945996398138292,0
787,787,0.2439666024771963,0
150,150,0.3350097762591558,0
1770,1770,0.3482851936647595,0
1617,1617,0.4250153822714779,0
553,553,0.3768467039166141,0
2272,2272,0.2662146795890012,0
1311,1311,0.3185106469061116,0
223,223,0.1741799387550444,0
2110,2110,0.3574743180995907,0
1071,1071,0.3144509534907108,0
85,85,0.4024619347445116,0
1674,1674,0.3449150515578304,0
1675,1675,0.3451527151402876,0
552,552,0.2863396034771722,0
1847,1847,0.2047644520372559,0
589,589,0.2929749732251067,0
1964,1964,0.5288260782262213,0
1346,1346,0.2710243388971133,0
572,572,0.2717872383096039,0
698,698,0.2105083448235883,0
1776,1776,0.182664081046009,0
