id_A,id_B,similarity_score,is_match
1507,1507,0.2610531943410777,0
1735,1735,0.2230896492060371,0
2208,2208,0.2238828251382716,0
510,510,0.2058496387345872,0
1460,1460,0.1666871792484244,0
110,110,0.2906764758871146,0
1746,1746,0.1398309916008239,0
164,278,0.1763044890130916,0
1939,1939,0.1769650400455664,0
135,1565,0.1821404318325089,0
3,3,0.0958796355956069,0
105,105,0.1334883517348088,0
1863,1863,0.1706862409442297,0
842,842,0.0833619767318695,0
1096,2187,0.1863052495882486,0
755,755,0.1725804767336101,0
1295,1295,0.111727481413169,0
1080,1080,0.2023331883575601,0
743,743,0.0951240400754761,0
1753,1753,0.1464998988987616,0
1417,1417,0.1922197360426867,0
1306,1306,0.0231156694140139,0
1372,1806,0.1017465405439854,0
1689,1689,0.2327583002457652,0
448,448,0.1974329301551651,0
2014,2014,0.200278004292885,0
2210,1066,0.2236423572276317,0
1574,1574,0.112385354491084,0
1622,1622,0.1936020015234621,0
1348,616,0.0829589292146725,0
966,966,0.1020883856055993,0
1982,1982,0.093581472294712,0
2197,2197,0.1747411060068085,0
42,1277,0.0627550622055843,0
1925,1925,0.1618943870528889,0
1337,1337,0.0842935168562095,0
466,1674,0.2609568823796473,0
1316,1316,0.2150084096548297,0
1098,1098,0.1383664245674763,0
2248,2248,0.1672740996193789,0
253,253,0.1631217212074174,0
956,956,0.1947395832106153,0
1370,1370,0.1301518891809112,0
1685,1685,0.077326645341037,0
1636,1636,0.1028221594283276,0
1346,1227,0.0941093252194615,0
1383,1383,0.0344187177628018,0
1563,1563,0.1122192535272195,0
1435,1435,0.153797541504786,0
855,855,0.142668453152514,0
1122,1122,0.140089595825139,0
1399,1399,0.1541844694721306,0
2154,2154,0.1112014206702471,0
1745,1745,0.1662859900238541,0
1490,1490,0.0959380286075648,0
420,420,0.1854026992793508,0
261,261,0.1084898658524918,0
1665,1665,0.1065217650476446,0
1244,1244,0.0858905933670901,0
489,489,0.0838517166729773,0
1806,1806,0.0729461584745202,0
279,279,0.1159233478278524,0
1759,8,0.0559485175710941,0
1590,1590,0.2001188223491315,0
1087,1087,0.105678058303474,0
73,73,0.2063825213712981,0
755,797,0.1497813541026608,0
1702,1702,0.1024895688525862,0
1043,641,0.084550618369381,0
421,421,0.1439653087756119,0
787,787,0.1324387029028274,0
150,150,0.150592949796399,0
1770,1770,0.1498431921119949,0
1617,1617,0.1800819200152503,0
553,553,0.1846320331403908,0
2272,2272,0.088738226529667,0
1311,1311,0.1282392471861166,0
223,223,0.0836851729067463,0
2110,2110,0.1829110364750232,0
1071,1071,0.1301763223628362,0
85,85,0.1611581082422216,0
1674,1674,0.1399716838526101,0
1675,1675,0.1505669689523406,0
552,552,0.1337439105096698,0
1847,1847,0.1056478937450292,0
589,589,0.0976583244083689,0
1964,1964,0.2082835404821975,0
1346,1346,0.1231463835046002,0
572,572,0.1116557683209572,0
698,698,0.0929550879795202,0
1776,1776,0.0994690922385798,0
1921,1921,0.2539927947429097,0
434,434,0.0919942223323295,0
978,978,0.135652117459166,0
1691,770,0.1083368612167981,0
156,979,0.1441653130859846,0
921,921,0.1844364613121648,0
2208,2030,0.097000599421161,0
905,905,0.0987679251275553,0
198,198,0.105864941954496,0
1274,1274,0.1312542183774769,0
1402,1402,0.1301500405842534,0
2141,725,0.1498143461061269,0
1227,1227,0.1160018111255975,0
382,382,0.1389578036258319,0
742,742,0.1306865841072899,0
1331,1331,0.0499045115987207,0
442,442,0.0587943063637217,0
238,238,0.0769296452129404,0
997,997,0.1315677543714282,0
1003,1003,0.0514119730846129,0
98,98,0.1178802192118862,0
349,349,0.0946927130512529,0
975,975,0.118844961645017,0
1116,1116,0.127080880938895,0
665,665,0.0770628266692439,0
954,954,0.2085219768320426,0
478,478,0.0604258453044004,0
690,690,0.1719360047297632,0
2062,2062,0.0785532853599415,0
2191,2191,0.1018505979561687,0
280,1088,0.0606699676280804,0
2151,1122,0.1526473285712798,0
341,341,0.1060295674328742,0
33,580,0.1185429128733776,0
257,257,0.1423844702182939,0
1844,1844,0.0605088468902542,0
2117,2117,0.1513520668015207,0
201,1874,0.1387882507725491,0
655,828,0.1385386478618635,0
747,747,0.1868091887768977,0
1248,1248,0.1561715614842453,0
1366,1366,0.1245323534587467,0
623,623,0.130404301121453,0
1424,1424,0.0301284471783539,0
1965,1965,0.1454819898465006,0
1499,1499,0.142964920072472,0
1935,1935,0.0986375386743323,0
1168,1168,0.0323450736666274,0
894,894,0.040887055469258,0
770,770,0.1478421341745655,0
2153,1100,0.1158136647477498,0
354,354,0.1203721107804233,0
1515,1515,0.0802811997640669,0
828,828,0.1225805695076065,0
1622,1689,0.17069025635495,0
1149,1149,0.060159627782927,0
1554,1554,0.0810914137894538,0
1119,1119,0.1622840629421954,0
156,156,0.1332927006279045,0
913,913,0.0419726380703949,0
1736,1736,0.1188588216528635,0
1307,1307,0.0643755416453527,0
2290,2290,0.1199484130301669,0
1577,1577,0.1831379818851778,0
1305,1305,0.0865040797509282,0
2292,654,0.1221659851385594,0
146,146,0.1005543942346258,0
2015,2015,0.014745321680253,0
155,155,0.1129811886249792,0
2199,2199,0.1059349722544971,0
1704,1704,0.1665368532516741,0
20,20,0.2009819687388573,0
189,189,0.1402541782359604,0
2153,2153,0.0859762810602533,0
544,544,0.0742292875240574,0
845,845,0.0572543813908224,0
7,7,0.1145764557821054,0
1158,1158,0.162126245001776,0
