id_A,id_B,similarity_score,is_match
33582,208504045,0.3291359918826887,0
33600,208504045,0.3291359918826887,0
33582,207876534,0.2566214321596138,0
33600,207876534,0.2566214321596138,0
33985,207876534,0.3614024346543648,0
37907,210227285,0.2365330283465364,0
33581,207388754,0.2752986907455854,0
33595,207388754,0.2693118112075904,0
33569,207506251,0.1608954508258679,0
33591,207506251,0.1573434981549252,0
33581,207506251,0.1596504623698059,0
33595,207506251,0.1561785675932465,0
33569,207388758,0.248902223823388,0
33591,207388758,0.2434074201221331,0
35388,207876534,0.3071293913279858,0
36556,207876534,0.3110418161407646,0
34303,207660498,0.3122024650318854,0
36556,207653548,0.2909250357935929,0
33985,207388752,0.3318366071134658,0
21875,10315184,0.5165030320591566,0
34349,208294712,0.3185108558534464,0
34349,207919773,0.2476456822290822,0
34303,209208661,0.1736173842478144,0
36471,209306028,0.1613575561233136,0
36471,207927557,0.2620097727943979,0
38098,209026638,0.2927740790753721,0
34895,208504369,0.208984177177492,0
37182,207534895,0.0582749856059885,0
35226,207388754,0.1960142393607739,0
29816,208111903,0.0414338233391202,0
34150,204327516,0.0447557358819326,0
29816,204327516,0.048987976703466,0
34150,206460121,0.0037552908626803,0
35247,208710844,0.2003075833227079,0
35247,207959798,0.2262643008331063,0
38098,207938488,0.1200315981076939,0
34895,207642166,0.219035751660329,0
34897,207642166,0.2290973512073174,0
34091,208294698,0.2975125802116884,0
35201,207660497,0.1504412256957726,0
35201,207637777,0.1581494102194469,0
34897,209208655,0.1348174722537542,0
37182,206870284,0.0504756585200395,0
34000,207986331,0.152166882596072,0
35226,210227285,0.1628535693505117,0
34266,207388757,0.2316035085595063,0
34091,207506250,0.2866046593793111,0
34000,209869989,0.1330728746466389,0
34002,209869989,0.1074156181811001,0
28138,207514563,0.0658290202563799,0
34002,207986331,0.1256026656053901,0
37495,208043057,0.3332285350708741,0
37496,208043057,0.3314251059287512,0
37558,208043057,0.3339003480117206,0
37499,205690063,0.3277310707363077,0
37499,206746475,0.3056820944321455,0
35185,208111904,0.2025642267888922,0
34904,207390618,0.3019439980787681,0
35045,207660499,0.1500907887036465,0
35045,207653548,0.1093802379438347,0
26346,202899998,0.0889081099783792,0
35277,207388754,0.0991566776866308,0
34496,208111904,0.210538594991168,0
28138,208111903,0.0,0
35872,208111903,0.0,0
35872,206460121,0.0,0
36808,208111904,0.0959673142659116,0
33278,207534895,0.1041592071941221,0
35388,208079230,0.1901289559252162,0
35277,208079230,0.0850126780659168,0
34266,207660499,0.2587716647021656,0
33278,209656971,0.2127837116992824,0
34496,207642166,0.1016844784290976,0
37907,206928608,0.0600892796557924,0
34969,207388752,0.1185283036518532,0
31596,204587803,0.4169274399500037,0
24615,204587803,0.3821551720851219,0
34969,207506250,0.1127525122082274,0
26346,208111280,0.1486100658677086,0
33498,206928384,0.2499224025769937,0
33498,206928388,0.2420463681922706,0
33496,206928390,0.2532277391443224,0
33496,206928388,0.2576489044524633,0
32055,207390682,0.0378632587704065,0
34934,208117937,0.4782973768835349,0
34934,208117938,0.4782973768835349,0
25550,204736197,0.1052734020367915,0
