id,preferredlabel,canonicallocation,label,changereason,version,ttl_source,country,comment,manager,nickname,name,deathdate,description,birthdate,surname,givenname,geometry,caption,equipment,olympic,team,hasend,hasbeginning,shortname,canonicalname,slug,lat,long,preflabel,altlabel,population,haslength,hasarea,haspopulation,haswidth,hasmaximumheight,minqualifiedcardinality,source
http://www.bbc.co.uk/things/g698aa2be-1818-4b29-8469-97d07ff9500e#id,caroline dinenage,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gec46e289-42e1-43cf-acf7-d94ddba2cabc#id,mark durkan,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g03fd75e4-c5e8-4c93-a042-3a0cf9b8d445#id,frank doran,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gcb399383-f0b4-4541-bb34-9911eb204e1e#id,stephen dorrell,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g89726057-30d7-4563-bfe8-a2c2980e57d3#id,david davis,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gafa0ae1e-3df0-489c-9e6a-0a8759482374#id,john robertson,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g217feead-55ec-4c37-a1f8-ebaf3156e607#id,alasdair mcdonnell,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g84a31f89-51ae-4731-90cd-c74e8dd344dd#id,graham evans,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g83a02aef-903a-4e00-b803-ad0df9757e5f#id,edward leigh,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/ge05c5ff9-bbbf-4e43-a436-f3298e9ebfcc#id,albert owen,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g57e250fb-6160-44a6-8815-23acd5103abb#id,margot james,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g8097a844-fdfc-4690-800f-6a81b6d6c615#id,kevin barron,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gc83090ce-5aa4-4a6f-995c-8ec84a9c0b37#id,peter aldous,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g007d1e82-bdee-4b3e-8624-f3658bd64abf#id,alan campbell,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g5c59148c-0862-4e52-9e04-d4330dc42a6a#id,nicholas soames,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gf9624b11-09e5-419b-ae55-a88f8090f7af#id,michael mccann,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g29ca31be-d422-4ceb-be88-77a46e48bdb5#id,david burrowes,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g6554ab95-5fb8-4774-aff9-20a8b31eeb8c#id,barbara keeley,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/ge1832af6-4544-4e12-b602-beac61486792#id,edward davey,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g04bf6276-32a3-43dd-9567-64306e0d0a88#id,pauline latham,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g2137d267-05a4-4c37-8d74-d3b9a77720d4#id,pat glass,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g4ca552d5-ca0f-40e9-be26-310f95227f0e#id,james clappison,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g878e4c2a-224c-4191-9161-451d4aa74e3a#id,nick brown,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g0d2a8cbb-66c6-423a-ac0c-271778c34fc6#id,denis macshane,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/ga88e6385-7a11-414f-8446-18da8b3b19d0#id,fabian hamilton,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g20381729-6a2d-4c9e-ad13-409707074767#id,paul uppal,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gd58a3211-ddbd-43c9-ad66-8d8f72aeb3d2#id,mark williams,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/g87246dfb-aa0e-489e-8d88-665199ffb9a0#id,karl mccartney,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
http://www.bbc.co.uk/things/gb1dd4160-41f7-49c2-b3ff-79d0da7c1a04#id,valerie vaz,,,,,uk parliament identifiers people 8 ttl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spimbench_b
