cluster_id,entity_id,source
0,1931102953,amazon
0,http://www.google.com/base/feeds/snippets/12729065138733783657,google
1,b00001qgvr,amazon
1,http://www.google.com/base/feeds/snippets/17745906642776826716,google
1,http://www.google.com/base/feeds/snippets/17956725325082284641,google
2,b00002cf7w,amazon
2,http://www.google.com/base/feeds/snippets/11648097795915093399,google
3,b00002jvfk,amazon
3,http://www.google.com/base/feeds/snippets/13400964324486944178,google
4,b00002s5ig,amazon
4,http://www.google.com/base/feeds/snippets/15933205235519328818,google
5,b00002s6sc,amazon
5,http://www.google.com/base/feeds/snippets/14941513108998426217,google
6,b00002s755,amazon
6,http://www.google.com/base/feeds/snippets/1946192615586358516,google
7,b00002sac9,amazon
7,http://www.google.com/base/feeds/snippets/8401993747038150345,google
8,b00002sam7,amazon
8,http://www.google.com/base/feeds/snippets/9299240234809634610,google
9,b000040p1z,amazon
9,http://www.google.com/base/feeds/snippets/18417864141770237281,google
10,b00004nhn7,amazon
10,http://www.google.com/base/feeds/snippets/18434385825570199468,google
11,b00004ochj,amazon
11,http://www.google.com/base/feeds/snippets/5722368875390495429,google
12,b00004s4xy,amazon
12,http://www.google.com/base/feeds/snippets/13157892297025795204,google
13,b00004s61f,amazon
13,http://www.google.com/base/feeds/snippets/12904888425689688966,google
14,b00004swll,amazon
14,http://www.google.com/base/feeds/snippets/18388258643346032817,google
15,b00004tj14,amazon
15,http://www.google.com/base/feeds/snippets/18356646681819470557,google
16,b00004tkvy,amazon
16,http://www.google.com/base/feeds/snippets/18441110047404795849,google
17,b00004vx3p,amazon
17,http://www.google.com/base/feeds/snippets/12415174468260360116,google
18,b00004wi4b,amazon
18,http://www.google.com/base/feeds/snippets/12764063569426395567,google
19,b000051sgq,amazon
19,http://www.google.com/base/feeds/snippets/17588771746186862436,google
20,b000053f92,amazon
20,http://www.google.com/base/feeds/snippets/9814257640405704198,google
21,b000059s6t,amazon
21,http://www.google.com/base/feeds/snippets/13650863465591381531,google
22,b00005atxo,amazon
22,http://www.google.com/base/feeds/snippets/11430069725574750424,google
23,b00005auzh,amazon
23,http://www.google.com/base/feeds/snippets/17640225934406949646,google
24,b00005aycg,amazon
24,http://www.google.com/base/feeds/snippets/15756558104583624199,google
25,b00005bigp,amazon
25,http://www.google.com/base/feeds/snippets/17738870551709614779,google
26,b00005birs,amazon
26,http://www.google.com/base/feeds/snippets/16816523477506304009,google
27,b00005ld1r,amazon
27,http://www.google.com/base/feeds/snippets/18367097829354438075,google
28,b00005ljem,amazon
28,http://www.google.com/base/feeds/snippets/12349466713769759720,google
29,b00005lzly,amazon
29,http://www.google.com/base/feeds/snippets/13393440070032836115,google
30,b00005op44,amazon
30,http://www.google.com/base/feeds/snippets/18381906790026125106,google
31,b00005rd70,amazon
31,http://www.google.com/base/feeds/snippets/17691332503246508957,google
32,b00005v55b,amazon
32,http://www.google.com/base/feeds/snippets/12732181672723754930,google
32,http://www.google.com/base/feeds/snippets/18011756922272923721,google
33,b000067fk7,amazon
33,http://www.google.com/base/feeds/snippets/2209370345378693785,google
33,b000fvqo0o,amazon
34,b000067vpa,amazon
34,http://www.google.com/base/feeds/snippets/18389772286278704810,google
34,b00006akwh,amazon
35,b000068nno,amazon
35,http://www.google.com/base/feeds/snippets/11635038042771617420,google
35,b00006oaqv,amazon
36,b000068xl9,amazon
36,http://www.google.com/base/feeds/snippets/18398774476993389905,google
37,b000068xo6,amazon
37,http://www.google.com/base/feeds/snippets/13369356481632433699,google
38,b0000691kc,amazon
38,http://www.google.com/base/feeds/snippets/10510400604129253122,google
38,b000icrgwk,amazon
39,b0000696oh,amazon
39,http://www.google.com/base/feeds/snippets/18423412970630780827,google
39,b000162zp6,amazon
39,http://www.google.com/base/feeds/snippets/18180725296745787083,google
40,b00006gxbz,amazon
40,http://www.google.com/base/feeds/snippets/6859916462314032120,google
41,b00006h3dw,amazon
41,http://www.google.com/base/feeds/snippets/17252201200051627446,google
42,b00006hmwc,amazon
42,http://www.google.com/base/feeds/snippets/18434525344397886462,google
43,b00006hrjw,amazon
43,http://www.google.com/base/feeds/snippets/13555492496576702552,google
44,b00006hubo,amazon
44,http://www.google.com/base/feeds/snippets/13506048545083752063,google
44,b000az841m,amazon
44,http://www.google.com/base/feeds/snippets/13630644212149116511,google
44,http://www.google.com/base/feeds/snippets/13164965529321114691,google
44,http://www.google.com/base/feeds/snippets/13613941901270543827,google
44,b00006lhf6,amazon
44,http://www.google.com/base/feeds/snippets/13239655615628391901,google
45,b00006hvvo,amazon
45,http://www.google.com/base/feeds/snippets/3409784122469217433,google
45,b0000swyw4,amazon
45,http://www.google.com/base/feeds/snippets/9687887699930800156,google
46,b00006ijx1,amazon
46,http://www.google.com/base/feeds/snippets/549551716004314019,google
47,b00006j02n,amazon
47,http://www.google.com/base/feeds/snippets/18268949289189904876,google
48,b00006jk50,amazon
48,http://www.google.com/base/feeds/snippets/11179585669816570240,google
49,b00006l3us,amazon
49,http://www.google.com/base/feeds/snippets/13824212185084788308,google
50,b00006rgnx,amazon
50,http://www.google.com/base/feeds/snippets/6732814497585724663,google
51,b00006sijq,amazon
51,http://www.google.com/base/feeds/snippets/5585715428749582523,google
51,b00006sijr,amazon
51,http://www.google.com/base/feeds/snippets/10621416214836586442,google
51,b000e65hki,amazon
51,http://www.google.com/base/feeds/snippets/11050991040966629398,google
51,http://www.google.com/base/feeds/snippets/6247936198343071793,google
51,http://www.google.com/base/feeds/snippets/12017561125627261759,google
51,http://www.google.com/base/feeds/snippets/10706956263145211695,google
51,http://www.google.com/base/feeds/snippets/13589207002001810856,google
52,b00006y0es,amazon
52,http://www.google.com/base/feeds/snippets/12445044163325859752,google
53,b00007bgty,amazon
53,http://www.google.com/base/feeds/snippets/18436194751131787997,google
53,b0002bqqxw,amazon
54,b00007bguc,amazon
54,http://www.google.com/base/feeds/snippets/17967569973770560353,google
55,b00007e8bi,amazon
55,http://www.google.com/base/feeds/snippets/18286585073343765950,google
56,b00007e8d4,amazon
56,http://www.google.com/base/feeds/snippets/16959392076941739015,google
57,b00007eegy,amazon
57,http://www.google.com/base/feeds/snippets/3997486488729671932,google
58,b00007g3ai,amazon
58,http://www.google.com/base/feeds/snippets/14590739388057248882,google
58,http://www.google.com/base/feeds/snippets/16171315423038143989,google
59,b00007kh02,amazon
59,http://www.google.com/base/feeds/snippets/17330505621209587005,google
59,b000e3e2km,amazon
59,http://www.google.com/base/feeds/snippets/7249154325906371083,google
59,http://www.google.com/base/feeds/snippets/4749954713094759082,google
60,b00007m5vg,amazon
60,http://www.google.com/base/feeds/snippets/16901363491609477771,google
61,b000088ner,amazon
61,http://www.google.com/base/feeds/snippets/4776201646741876078,google
61,http://www.google.com/base/feeds/snippets/1347968736695236641,google
62,b000088nqp,amazon
62,http://www.google.com/base/feeds/snippets/9558419339728905800,google
63,b0000899lt,amazon
63,http://www.google.com/base/feeds/snippets/16676630267570211401,google
64,b00008ajjc,amazon
64,http://www.google.com/base/feeds/snippets/18433582251941344230,google
65,b00008ava7,amazon
65,http://www.google.com/base/feeds/snippets/13178130288795462545,google
66,b00008avaa,amazon
66,http://www.google.com/base/feeds/snippets/13660085133260357894,google
67,b00008kisz,amazon
67,http://www.google.com/base/feeds/snippets/12846244427931030930,google
68,b00008mnxz,amazon
68,http://www.google.com/base/feeds/snippets/9445487736380311288,google
69,b00008mopv,amazon
69,http://www.google.com/base/feeds/snippets/16621550764866327052,google
69,http://www.google.com/base/feeds/snippets/13893790598310451613,google
70,b00008nruc,amazon
70,http://www.google.com/base/feeds/snippets/10441289479977345787,google
71,b00008pbus,amazon
71,http://www.google.com/base/feeds/snippets/13569469265401894942,google
71,http://www.google.com/base/feeds/snippets/13464833788774660263,google
72,b00008wq9i,amazon
72,http://www.google.com/base/feeds/snippets/13801903643027621522,google
73,b000090179,amazon
73,http://www.google.com/base/feeds/snippets/17953929889613420408,google
73,http://www.google.com/base/feeds/snippets/16002979675138477406,google
74,b0000959kx,amazon
74,http://www.google.com/base/feeds/snippets/6052848636732301170,google
74,b0000990y7,amazon
74,http://www.google.com/base/feeds/snippets/13833576505530604294,google
74,http://www.google.com/base/feeds/snippets/18382903514613113420,google
74,b00009nfc1,amazon
74,b000pg8kwe,amazon
74,http://www.google.com/base/feeds/snippets/8283450521159112077,google
74,http://www.google.com/base/feeds/snippets/15315822485835000773,google
74,b000aa8796,amazon
74,http://www.google.com/base/feeds/snippets/13804410937823415271,google
74,b0009yx9be,amazon
74,http://www.google.com/base/feeds/snippets/1021042895134770712,google
75,b000098xiy,amazon
75,http://www.google.com/base/feeds/snippets/12991839860010855049,google
76,b0000990xn,amazon
76,http://www.google.com/base/feeds/snippets/11841788208478190142,google
77,b000099107,amazon
77,http://www.google.com/base/feeds/snippets/18423703065025887231,google
78,b000099108,amazon
78,http://www.google.com/base/feeds/snippets/18105761375553744131,google
79,b000099sie,amazon
79,http://www.google.com/base/feeds/snippets/12471937113581397461,google
80,b000099sin,amazon
80,http://www.google.com/base/feeds/snippets/18383594456090582739,google
81,b000099swz,amazon
81,http://www.google.com/base/feeds/snippets/13474422966301323984,google
82,b00009adf3,amazon
82,http://www.google.com/base/feeds/snippets/10843999530069218918,google
82,http://www.google.com/base/feeds/snippets/12203635138191657547,google
83,b00009apiu,amazon
83,http://www.google.com/base/feeds/snippets/16709273410439592472,google
83,http://www.google.com/base/feeds/snippets/15486017920946935068,google
84,b00009apn8,amazon
84,http://www.google.com/base/feeds/snippets/3435680088823178198,google
85,b00009k780,amazon
85,http://www.google.com/base/feeds/snippets/14836411847601178075,google
86,b00009l1hv,amazon
