id_A,id_B,final_score,is_match
b000qxdj0y,http://www.google.com/base/feeds/snippets/18010943695830266377,0.3299941789018403,0
b000qxdj0y,http://www.google.com/base/feeds/snippets/16433681558697255842,0.3511974414220953,0
b00020633g,http://www.google.com/base/feeds/snippets/18405058220481329541,0.274432539888671,0
b0007iqg2q,http://www.google.com/base/feeds/snippets/18405058220481329541,0.26861457287472684,0
b000b676fa,http://www.google.com/base/feeds/snippets/15577341303347278445,0.27324929223593575,0
b000hcxklc,http://www.google.com/base/feeds/snippets/15988714852413665745,0.35014261580376416,0
b000bgtvda,http://www.google.com/base/feeds/snippets/10066664236286478958,0.5817279642704255,1
b0007iqg2q,http://www.google.com/base/feeds/snippets/18395637668335924867,0.27469400497576835,0
b000cik6rc,http://www.google.com/base/feeds/snippets/13775362651326388438,0.29129425506567086,0
b000cik6rc,http://www.google.com/base/feeds/snippets/13796906802854864998,0.29316096719252427,0
b000egidpe,http://www.google.com/base/feeds/snippets/15577341303347278445,0.24418918758279776,0
b0009yx9be,http://www.google.com/base/feeds/snippets/18445827127704822533,0.39106184191363824,0
b000ivfciq,http://www.google.com/base/feeds/snippets/18445827127704822533,0.33894058317882836,0
b000bcgfe2,http://www.google.com/base/feeds/snippets/3306668805908280679,0.6236582992931026,1
b000bcgfe2,http://www.google.com/base/feeds/snippets/4615810080995000742,0.6236582992931026,1
b000h2421o,http://www.google.com/base/feeds/snippets/3192985906364439341,0.45263669008485174,0
b000h2421o,http://www.google.com/base/feeds/snippets/18177463782265275234,0.4485128409813408,0
b00007g3ai,http://www.google.com/base/feeds/snippets/14590739388057248882,0.5667886059465246,1
b00007g3ai,http://www.google.com/base/feeds/snippets/16171315423038143989,0.5667886059465246,1
b00008mnxr,http://www.google.com/base/feeds/snippets/18413075895200367717,0.3281845534886882,0
b0000c120d,http://www.google.com/base/feeds/snippets/18413075895200367717,0.3661611293380471,0
b00020633g,http://www.google.com/base/feeds/snippets/17149948893700452737,0.34079340194922914,0
b000v05f4k,http://www.google.com/base/feeds/snippets/5654238078872944077,0.2455601582479044,0
b000v05f4k,http://www.google.com/base/feeds/snippets/15507274987164673073,0.23835581084666418,0
b0007g9760,http://www.google.com/base/feeds/snippets/13771177133224281760,0.21057401687320298,0
b000hlt5hq,http://www.google.com/base/feeds/snippets/18010943695830266377,0.37458212214054637,0
b0009yx9be,http://www.google.com/base/feeds/snippets/13771177133224281760,0.34907679192426144,0
b00008mnxr,http://www.google.com/base/feeds/snippets/15404585187042606500,0.3413951757274357,0
b0002oqy1i,http://www.google.com/base/feeds/snippets/16942168582476586182,0.7935765959805339,1
b0002oqy1i,http://www.google.com/base/feeds/snippets/16969493842479402672,0.6201547120286647,1
b000gh2pa0,http://www.google.com/base/feeds/snippets/13582930230756997101,0.48831505469676134,0
b0000c6fjm,http://www.google.com/base/feeds/snippets/15800184450191067839,0.35193923839565033,0
b000gh2pa0,http://www.google.com/base/feeds/snippets/9445487736380311288,0.4484111676783253,0
b000hed3gm,http://www.google.com/base/feeds/snippets/15075617952954602482,0.49508932994612304,0
b0000959kx,http://www.google.com/base/feeds/snippets/8283450521159112077,0.44737046253463875,0
b000nkfee4,http://www.google.com/base/feeds/snippets/18177463782265275234,0.2157623212999938,0
b000nkfee4,http://www.google.com/base/feeds/snippets/3192985906364439341,0.2007734214675191,0
