id_A,id_B,certificate_score,evidence_count,witness_path,region_size,jaccard_score,tfidf_score,sbert_score,value_score,is_match
33582,208504045,10.308893,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1,0.15384615384615385,0.32913599188268877,0.8364210252783504,0.43980105700239763,0
33600,208504045,10.308893,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1,0.15384615384615385,0.32913599188268877,0.8379237929323611,0.44030197955373457,0
33582,207876534,10.294902,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1,0.11320754716981132,0.25662143215961386,0.8443456562229124,0.4047248785174458,0
33600,207876534,10.294902,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1,0.11320754716981132,0.25662143215961386,0.8408249559701709,0.4035513117665321,0
33985,207876534,10.290974,6,strong_rescue::anchor_bigram|block_id|digit_signature|long_pair|model_code|token_skeleton,1,0.19148936170212766,0.3614024346543648,0.8603771177260321,0.4710896380275082,0
37907,210227285,8.826017,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.09615384615384616,0.23653302834653642,0.6116434527038273,0.3147767757347366,0
33581,207388754,8.823944,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.15384615384615385,0.27529869074558544,0.8647578500233984,0.4313008982050459,0
33595,207388754,8.823944,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.14814814814814814,0.2693118112075904,0.8631069417497947,0.4268556337018444,0
33569,207506251,8.796129,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.12,0.16089545082586795,0.7617279596160673,0.34754113681397847,0
33591,207506251,8.796129,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.11538461538461539,0.15734349815492527,0.7584919606535521,0.34374002473103094,0
33581,207506251,8.796071,6,strong_rescue::anchor_bigram|block_id|field_presence|long_pair|model_code|token_skeleton,1,0.12,0.15965046236980596,0.7540776922003107,0.34457605152337223,0
